district,hour,demand,supply,weather_score,event_score,historical_congestion,pool_acceptance,pickup_flexibility,fare_sensitivity,risk_score
D7,14,34,121,0.14,0.29,0.92,0.14,0.81,0.03,0.22
D4,19,139,87,0.17,0.57,0.85,0.81,0.9,0.41,0.44
D11,9,176,106,0.05,0.42,0.8,0.93,0.79,0.55,0.45
D8,2,69,100,0.66,0.12,0.99,0.2,0.85,0.15,0.3
D5,18,144,67,0.84,0.33,0.7,0.01,0.1,0.18,0.51
D7,2,101,117,0.37,0.72,0.75,0.33,0.92,0.46,0.29
D10,21,21,113,0.87,0.61,0.98,0.03,0.62,0.34,0.21
D3,13,117,72,0.21,0.12,0.01,0.83,0.87,0.44,0.29
D7,7,155,56,0.33,0.16,0.63,0.49,0.68,0.46,0.61
D11,22,57,123,0.15,0.64,0.74,0.64,0.2,0.14,0.22
D11,3,61,34,0.62,0.81,0.92,0.41,0.61,0.18,0.48
D8,19,140,50,0.42,0.35,0.88,0.35,0.09,0.85,0.66
D5,10,53,30,0.61,0.6,0.84,0.22,0.7,0.16,0.46
D4,10,102,31,0.76,0.17,0.95,0.77,0.41,0.67,0.75
D8,10,104,49,0.55,0.31,0.54,0.7,0.15,0.42,0.48
D8,1,80,116,0.63,0.02,0.01,0.36,0.98,0.97,0.13
D3,16,40,117,0.94,0.77,0.01,0.32,0.9,0.07,0.06
D6,8,197,61,0.3,0.4,0.54,0.0,0.89,0.83,0.68
D5,1,41,49,0.36,0.82,0.44,0.06,0.79,0.49,0.23
D2,23,101,30,0.72,0.71,0.45,0.62,0.69,0.01,0.68
D8,14,49,126,0.61,0.83,0.4,0.51,0.66,0.26,0.14
D12,15,43,43,0.18,0.29,0.92,0.43,0.11,0.41,0.35
D6,3,55,98,0.38,0.19,0.36,0.83,0.9,0.31,0.17
D2,7,204,73,0.47,0.97,0.86,0.5,0.88,0.36,0.66
D12,8,189,80,0.42,0.72,0.9,0.38,0.75,0.92,0.59
D5,4,74,106,0.18,0.83,0.5,0.16,0.93,0.36,0.22
D1,15,99,53,0.92,0.01,0.45,0.82,0.55,0.42,0.42
D12,12,96,53,0.76,0.35,0.76,0.58,0.45,0.76,0.46
D10,6,73,55,0.48,0.74,0.71,0.09,0.97,0.79,0.37
D6,19,195,65,0.68,0.08,0.33,0.65,0.46,0.08,0.6
D12,16,57,94,0.9,0.57,0.1,0.43,0.64,0.7,0.13
D9,2,94,80,0.14,0.43,0.26,0.81,0.37,0.48,0.26
D1,4,54,72,0.25,0.02,0.13,0.92,0.64,0.13,0.16
D11,18,158,86,0.54,0.24,0.29,0.6,0.72,0.26,0.38
D11,11,100,87,0.8,0.28,0.26,0.73,0.62,0.05,0.25
