user_id,pool_acceptance,pickup_flexibility,fare_sensitivity,eco_score,adaptability_score
USER_0001,0.56,0.79,0.41,0.09,58.4
USER_0002,0.89,0.29,0.37,0.01,55.4
USER_0003,0.57,0.08,0.46,0.37,39.0
USER_0004,0.19,0.49,0.32,0.08,31.9
USER_0005,0.97,0.05,0.61,0.78,58.6
USER_0006,0.89,1.0,0.06,0.33,67.4
USER_0007,0.47,0.36,0.81,0.67,53.9
USER_0008,0.24,0.96,0.17,0.35,43.5
USER_0009,0.22,0.77,0.63,0.8,50.8
USER_0010,0.81,0.41,0.45,0.89,58.2
USER_0011,0.07,0.12,0.77,0.84,29.5
USER_0012,0.64,0.24,0.83,0.48,57.7
USER_0013,0.64,0.67,0.2,0.08,51.7
USER_0014,0.18,0.83,0.68,0.37,52.5
USER_0015,0.7,0.98,0.19,0.42,63.1
USER_0016,0.71,0.13,0.12,0.96,35.9
USER_0017,0.35,0.16,0.93,0.57,46.7
USER_0018,0.48,0.04,0.16,0.64,25.2
USER_0019,0.83,0.26,0.23,0.78,47.9
USER_0020,0.52,0.82,0.13,0.57,49.3
USER_0021,0.62,0.2,0.47,0.6,44.9
USER_0022,0.41,0.55,0.92,0.25,60.5
USER_0023,0.15,0.45,0.26,0.06,27.3
USER_0024,1.0,0.33,0.54,0.72,66.1
USER_0025,0.53,0.62,0.41,0.85,52.1
USER_0026,0.34,0.5,0.34,0.41,38.8
USER_0027,0.71,0.33,0.57,0.55,55.4
USER_0028,0.62,0.69,0.56,0.31,62.3
USER_0029,0.23,0.28,0.36,0.45,28.4
USER_0030,0.88,0.64,0.85,0.21,79.9
USER_0031,0.07,0.96,0.05,0.76,33.1
USER_0032,0.61,0.73,0.09,0.49,49.0
USER_0033,0.48,0.42,0.99,0.55,61.5
USER_0034,0.32,0.75,0.75,0.04,57.8
USER_0035,0.83,0.81,0.8,0.62,81.5
USER_0036,0.66,0.33,0.6,0.2,54.3
USER_0037,0.76,0.71,0.42,0.38,64.3
USER_0038,0.41,0.43,0.63,0.41,48.2
USER_0039,0.94,0.82,0.09,0.45,64.9
USER_0040,0.34,0.3,0.76,0.23,45.4
USER_0041,0.53,0.94,0.54,0.85,65.6
USER_0042,0.93,0.57,0.96,0.43,83.1
USER_0043,0.08,0.35,0.64,0.61,32.9
USER_0044,0.11,0.42,0.15,0.61,21.5
USER_0045,0.99,0.35,0.48,0.61,64.5
USER_0046,0.97,0.15,0.06,0.56,45.1
USER_0047,0.77,0.07,0.75,0.82,55.4
USER_0048,0.48,0.32,0.5,0.81,43.8
USER_0049,0.51,0.46,0.37,0.42,45.3
USER_0050,0.26,0.36,0.97,0.64,50.3
USER_0051,0.43,0.01,0.94,0.1,45.7
USER_0052,0.43,0.58,0.95,0.09,63.1
USER_0053,0.04,0.14,0.22,0.48,12.4
USER_0054,0.45,0.21,0.73,0.9,46.2
USER_0055,0.48,0.12,0.95,0.65,51.3
USER_0056,0.67,0.52,0.57,0.67,59.5
USER_0057,0.52,0.1,0.21,0.16,30.1
USER_0058,0.86,0.26,0.82,0.45,66.8
USER_0059,0.37,0.45,0.88,0.4,54.7
USER_0060,0.41,0.17,0.7,0.78,42.5
USER_0061,0.57,0.45,0.29,0.14,45.0
USER_0062,0.2,0.34,0.19,0.54,23.9
USER_0063,0.39,0.86,0.62,0.91,60.0
USER_0064,0.69,0.79,0.48,0.89,65.7
USER_0065,0.41,0.99,0.67,0.85,66.2
